0.7,z17,Co akceptoval od dívky z vesnice?,Was akzeptierte er von einem Dorfmädchen?
0.8,z26,Kdo byl poražen během říjnové revoluce?,Wer wurde während der Revolution im Oktober besiegt?
0.9,z52,Co navštívili?,Was haben sie besucht?
0.8,z39,Jaký nástroj je zahrnut ve všech Chopinových skladbách?,Welches Instrument ist in Chopins ganzen Songs enthalten?
0.75,p02,Které údaje mezi ně patří?,Welche Daten gehören dazu?
0.9,p24,Kolik Kč zaplatí žadatel?,Wie viel zahlt ein Antragsteller?
0.3,z20,Jakou osobnost připomíná jméno "Rodó"?,Was für eine Persönlichkeit erinnert mich an den Namen "Rose"?
0.6,z38,Co bylo rozpuštěno po indickém povstání v roce 1857?,Was wurde nach dem indischen Aufstand 1857 aufgelöst?
0.4,z10,Jak se nazýval nový&#44; velmi nepopulární režim?,Wie hieß das neue&#44; sehr unpopuläre Regime?
0.6,p07,K čemu používáme tyto informace?,Wofür verwenden wir diese Informationen?
0.6,z58,Kdo představil první kvantifikovaný model atomu v roce 1913?,Wer hat 1913 das erste atomisierte Modell vorgestellt?
0.75,p25,Kdo vždy jednohlasně prohlašuje&#44; kdo je otcem dítěte?,Wer sagt immer einstimmig&#44; wer der Vater des Kindes ist?
0.4,z05,Kdo odmítl dekret prezidenta Ronalda Reagana z roku 12291?,Wer lehnte das Dekret von Präsident Ronald Reagan aus dem Jahr 12291 ab?
0.5,z48,Co mohou tato zařízení používat?,Was können diese Geräte verwenden?
0.9,z31,Kdo je klíčovým motivem tohoto tématu?,Wer ist das Hauptmotiv für dieses Thema?
0.4,t30,Není možné otevřít obraz typu BMP (jen JPG a PNG).,Es ist unmöglich&#44; ein Bild der BMP (nur JPG und PNG) zu öffnen.
0.7,z18,Jakým název se používá pro zkušené buddhistické praktiky?,Welchen Namen benutzt man für erfahrene buddhistische Praktiken?
0.4,z14,Odkud je přivezeno vybavení?,Wo kommt die Ausrüstung her?
0.2,t11,Nelze změnit kódování z "UNICODE" na Windows-1250.,Die Verschlüsselung von "UNICODE" kann nicht auf Windows-1250 geändert werden.
0.9,p00,Při jakých aktivitách jsou shromažďována data?,Welche Aktivitäten haben Daten gesammelt?
0.6,z29,Kdy se konala její korunovace ve Westminsterském opatství?,Wann fand ihre Krönung in der Westminster Abtei statt?
0.5,z02,Kolika palců dosahují průměrné roční dešťové srážky?,Wie viele Zentimeter erreichen einen durchschnittlichen jährlichen Regensturm?
0.9,p10,Kolik Kč činí ročně poplatek za jednoho psa?,Wie viel kostet ein Hund pro Jahr?
0.8,z45,O kom Beyoncé tvrdí&#44; že je její největší hudební vliv?,Wer ist Beyoncés größter Einfluss?
0.8,z46,Která britská rocková kapela nahrála skladbu "Hymn for the Weekend"?,Welche britische Rockband hat "Hymn for the Weekend" aufgenommen?
0.7,p08,Co musí být uvedeno pod peticí o tom&#44; kdo ji podává?,Was muss unter der Petition darüber stehen&#44; wer sie einreicht?
0.8,p18,Z jakého rozpočtu jsou dotovány obědy?,Aus welchem Budget werden die Mittagessen subventioniert?
0.4,p13,Do kolika dnů po konání akce je poplatek splatný bez vyměření?,Wie viele Tage nach der Aktion ist die Gebühr ohne Berechnung gültig?
0.7,z16,Jakou píseň od U2 si vybral DeWaze?,Welchen Song hat DeWaze von U2 gewählt?
0.5,z33,Která zpívající studentka ho také fascinovala?,Welche singende Studentin hat ihn auch fasziniert?
0.7,p03,Co můžeme hodnotit pomocí údajů o používání webu?,Was können wir mit den Daten über die Nutzung der Website bewerten?
0.7,z11,S kolika týmy nakonec odstartovala sezona 2007-2008?,Mit wie vielen Teams startete die Saison 2007-2008?
0.9,p11,Jak lze tento poplatek zaplatit?,Wie kann diese Gebühr bezahlt werden?
0.9,z36,V jakém roce zemřel Albert?,In welchem Jahr ist Albert gestorben?
0.5,z28,V jakém věku zemřel v červnu 1837 Vilém IV.?,In welchem Alter starb Vilém IV im Juni 1837?
0.7,z57,Kolik vrtulníků bylo nasazeno během zahájení záchranných operací?,Wie viele Hubschrauber wurden während der Rettungsaktion eingesetzt?
0.8,z56,Kteří architekti zvětšili Buckinghamský dům v průběhu 19. století?,Welche Architekten haben Buckinghams Haus im Jahrhundert vergrößert?
0.6,t29,Když chci rozmazat obraz&#44; začne obrazovka blikat.,Wenn ich das Bild verwässern will&#44; blinkt der Bildschirm.
0.7,z50,Na které dvě kolonie rozdělili Britové Floridu?,In welche Kolonien haben die Briten Florida aufgeteilt?
0.8,p04,Co nemusíme dělat s propojenými stránkami?,Was müssen wir nicht mit verbundenen Seiten machen?
0.6,t16,Tlačítko Zpět lze zmáčknout maximálně třikrát.,Der Rückwärts-Knopf kann höchstens dreimal gedrückt werden.
0.7,z43,Jak se jmenovalo osmé dítě Victorie&#44; které porodila v roce 1853?,Wie hieß das achte Kind von Victoria&#44; das 1853 geboren wurde?
0.6,t02,Text nelze upravit dvojím kliknutím.,Der Text kann nicht mit zweierlei Klicks geändert werden.
0.6,z12,Jakou vlastnost oproti NTSC má nový standardní systém?,Welche Eigenschaften hat das neue Standardsystem im Vergleich zum NTSC?
0.8,t24,Formát data nelze změnit z M-D-Y na DD-MM-YY.,Die Datenformation kann nicht von M-D-Y in D-M-Y umgewandelt werden.
0.8,t06,Příkaz "Duplicate" není dostupný pro jednostranné formuláře.,Der Befehl "Duplicate" ist für einseitige Formulare nicht verfügbar.
0.4,z26,Jaký orgán byl svržen v říjnové revoluci?,Welches Organ wurde im Oktober von der Revolution gestürzt?
0.4,z52,Co navštívili Napoleon III.&#44; Victoria a Albert v Paříži?,Was haben Napoleon III&#44; Victoria und Albert in Paris besucht?
0.8,z39,Pro který hudební nástroj jsou napsány všechny Chopinovy skladby?,Für welches Musikinstrument sind Chopins ganzen Songs geschrieben?
0.6,z20,Na kterého spisovatele odkazuje jméno "Rodó"?,Auf welchen Schriftsteller bezieht er den Namen "Rose"?
