"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"safety"	"special"	"install"	"inside"	"NN"	"IN"	"DT"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"wash"	"a"	"and"	"."	"NN"	"."	"X"	"line"	"conj_and"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"moor"	"steel"	"by"	","	"VBG"	","	"DT"	"lines"	"agent"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"frozen"	"the"	"thaw"	"at"	"JJ"	"IN"	"DT"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"dock"	"a"	"throw"	"to"	"NN"	"TO"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"green"	"the"	"come"	"as"	"JJ"	"IN"	"DT"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"their"	"cut"	"will"	"rather"	"PRP$"	"RB"	"IN"	"lines"	"dobj"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"tow"	"their"	"with"	"."	"NN"	"."	"X"	"lines"	"prep_with"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"tow"	"his"	"supervise"	"."	"NN"	"."	"X"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"take"	"at"	"at"	"DT"	"IN"	"NN"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"clothes"	","	"DT"	","	"PRP$"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"tuna"	"."	"DT"	"."	"``"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"short"	"very"	"a"	"and"	"JJ"	"CC"	"VB"	"line"	"conj_and"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"nylon"	"000-foot"	","	","	"NN"	","	"DT"	"lines"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"to"	"on"	"--"	"PRP$"	":"	"CC"	"line"	"prep_to"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"X"	"X"	"X"	"become"	"X"	"VBP"	"JJ"	"lines"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"cast"	"of"	","	"DT"	","	"CC"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"drag"	","	"shovel"	"and"	"NN"	"CC"	"JJ"	"lines"	"conj_and"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"X"	"X"	"X"	"be"	"X"	"VBD"	"VBN"	"lines"	"nsubjpass"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"or"	"``"	"chop"	"hang"	"CC"	"VBP"	"IN"	"lines"	"conj_or"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"bow"	"the"	"hook"	"of"	"NN"	"IN"	"PRP$"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"chute"	"his"	"after"	"twist"	"NN"	"VBN"	"CC"	"lines"	"dep"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"monofilament"	","	"boat"	"and"	"NN"	"CC"	"NNS"	"lines"	"conj_and"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"drag"	"."	"DT"	"."	"``"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"off"	"snack"	"and"	"DT"	"CC"	"VBZ"	"line"	"prep_off"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"toss"	"can"	"to"	"DT"	"TO"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"laundry"	"a"	"and"	"string"	"NN"	"VBN"	"IN"	"line"	"nn"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"green"	"basic"	"a"	"wrap"	"JJ"	"VBN"	"IN"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"from"	"hang"	"overhead"	"DT"	"NN"	"."	"line"	"nn"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"after"	"floor"	"ocean"	"to"	"IN"	"TO"	"PRP"	"lines"	"prep_after"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"rope"	"to"	"hitch"	"some"	"VB"	"DT"	"NN"	"lines"	"prep_to"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"one"	"."	"DT"	"."	"X"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"appear"	"would"	"DT"	"MD"	"RB"	"line"	"prep_on"
